id,platform,institution,title,url,class_type,description,rating,rating_max,num_reviews,difficulty,duration,skills,prereqs,cost_type
edx-11,edx,indian institute of management bangalore,marketing management,https://www.edx.org/learn/marketing-management/indian-institute-of-management-bangalore-marketing-management?index=product&queryid=7810dd9e3207571ed21fe33451f6441b&position=11&results_level=second-level-results&term=&objectid=course-b1e08c5c-4648-4b22-bb22-7b477fcf88d1&campaign=marketing+management&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how to effectively apply marketing management theories and practices including the marketing mix through real-world business scenarios.,4.2,5,31,-->intermediate,9 weeks,management consulting - marketing - marketing mix - customer satisfaction - marketing management - customer service,none,free 
edx-12,edx,university of california berkeley,the foundations of happiness at work,https://www.edx.org/learn/happiness/university-of-california-berkeley-the-foundations-of-happiness-at-work?index=product&queryid=7810dd9e3207571ed21fe33451f6441b&position=12&results_level=second-level-results&term=&objectid=course-a00ec61d-e2db-45c8-92c9-4727056c2f4a&campaign=the+foundations+of+happiness+at+work&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn why happiness at work matters and how to increase it within yourself and across your organization.,4.5,5,19,-->introductory,4 weeks,innovation,none,free 
edx-13,edx,the world wide web consortium (w3c),introduction to web accessibility,https://www.edx.org/learn/web-accessibility/the-world-wide-web-consortium-w3c-introduction-to-web-accessibility?index=product&queryid=7810dd9e3207571ed21fe33451f6441b&position=13&results_level=second-level-results&term=&objectid=course-8ac6f7ff-0ff9-4894-a5f3-cc34fc5768fa&campaign=introduction+to+web+accessibility&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,get a strong foundation in digital accessibility to make your websites and apps work well for people with disabilities meet international standards and provide a better user experience for everyone.,4.4,5,36,-->introductory,4 weeks,web accessibility - international standards - information technology - assistive technology - web content accessibility guidelines - web accessibility initiative - cooperation - rich internet application - user experience,none,free 
edx-14,edx,imperial college london,coaching skills for learner-centred conversations,https://www.edx.org/learn/coaching/imperial-college-london-coaching-skills-for-learner-centred-conversations?index=product&queryid=7810dd9e3207571ed21fe33451f6441b&position=14&results_level=second-level-results&term=&objectid=course-4145aa87-e1bf-4f84-b6c9-63ef0771e829&campaign=coaching+skills+for+learner-centred+conversations&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,using coaching approaches in your educational conversations will help you support learners to really maximise their potential as you become an even more effective and inspiring educator. over these next four modules you will become much more familiar with some key coaching principles and skills and will be equipped to start applying these in your own educational contexts.,4.5,5,20,-->introductory,4 weeks,life coaching,none,free 
edx-15,edx,university system of maryland,creating innovative business models,https://www.edx.org/learn/business-model/university-system-of-maryland-creating-innovative-business-models?index=product&queryid=7810dd9e3207571ed21fe33451f6441b&position=15&results_level=second-level-results&term=&objectid=course-eacd1533-14d5-4251-903c-bee5708a5bf6&campaign=creating+innovative+business+models&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,build your capabilities to create a value proposition team strategy market strategy and financial strategy to transform your ideas into a startup company or innovative corporate venture,4.7,5,8,-->introductory,4 weeks,value propositions - financial strategy - financial modeling - innovation - marketing strategies,none,free 
edx-16,edx,australian national university,greatest unsolved mysteries of the universe,https://www.edx.org/learn/astrophysics/australian-national-university-greatest-unsolved-mysteries-of-the-universe?index=product&queryid=7810dd9e3207571ed21fe33451f6441b&position=16&results_level=second-level-results&term=&objectid=course-b91a36c0-1e7a-4b64-908a-3886d0b13cb7&campaign=greatest+unsolved+mysteries+of+the+universe&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,exploring the biggest mysteries of modern astrophysics.,4.9,5,17,-->intermediate,9 weeks,astrophysics,none,free 
edx-17,edx,the smithsonian institution,interdisciplinary teaching with museum objects,https://www.edx.org/learn/teaching-strategies/the-smithsonian-institution-interdisciplinary-teaching-with-museum-objects?index=product&queryid=7810dd9e3207571ed21fe33451f6441b&position=17&results_level=second-level-results&term=&objectid=course-af184b03-15a3-4977-9cee-87f051dc810d&campaign=interdisciplinary+teaching+with+museum+objects&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,educators from four smithsonian museums will explore connections among their collections and model teaching strategies that participants can implement with their students whether online or in the classroom.,none,none,none,-->introductory,14 weeks,african-american history - interdisciplinary teaching,none,free 
edx-18,edx,the national university of singapore,intercultural communication at work – land the job and do it well,https://www.edx.org/learn/business-communications/the-national-university-of-singapore-intercultural-communication-at-work-land-the-job-and-do-it-well?index=product&queryid=7810dd9e3207571ed21fe33451f6441b&position=18&results_level=second-level-results&term=&objectid=course-ef87f574-3c2d-406b-9c76-b5865e7220a0&campaign=intercultural+communication+at+work+%e2%80%93+land+the+job+and+do+it+well&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,leveraging a holistic understanding of intelligence emotional cultural and adversity quotients this course guides job applicants in resume writing interview skills and professional communication skills for teamwork conflict management negotiation and presentation,none,none,none,intermediate,6 weeks,resilience - intercultural communication - relationship building - negotiation - teamwork - cultural sensitivity - management - conflict management - personal branding - emotional intelligence - presentations - writing,none,free 
edx-19,edx,the university of maryland college park,data science and agile systems for product management,https://www.edx.org/learn/product-management/the-university-of-maryland-college-park-data-science-and-agile-systems-for-product-management?index=product&queryid=7810dd9e3207571ed21fe33451f6441b&position=19&results_level=second-level-results&term=&objectid=course-eb57cb64-2f14-4a7e-8626-914cde2b06d0&campaign=data+science+and+agile+systems+for+product+management&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,deliver faster higher quality and fault-tolerant products regardless of industry using the latest in agile devops and data science.,4.6,5,5,-->intermediate,4 weeks,product management - influencing skills - operations - automation - data science - design and technology - self service technologies - data management - data collection - modularity - devops - fault tolerance - agile methodology,none,free 
edx-20,edx,imperial college business school,climate change: financial risks and opportunities,https://www.edx.org/learn/climate-change/imperial-college-business-school-climate-change-financial-risks-and-opportunities?index=product&queryid=7810dd9e3207571ed21fe33451f6441b&position=20&results_level=second-level-results&term=&objectid=course-51cf8a23-cffe-4b00-a0e7-badc59927767&campaign=climate+change%3a+financial+risks+and+opportunities&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,explore the risks and opportunities that climate change presents to financial markets hearing from a range of investment industry leaders and scientific researchers.,4.1,5,22,-->intermediate,4 weeks,financial market - investments - capital markets - risk management - finance - financial services,none,paid 
edx-21,edx,university of british columbia,strategies for online teaching and learning,https://www.edx.org/learn/education/university-of-british-columbia-strategies-for-online-teaching-and-learning?index=product&queryid=7810dd9e3207571ed21fe33451f6441b&position=21&results_level=second-level-results&term=&objectid=course-228e656f-0a00-494f-9233-734cb18761b4&campaign=strategies+for+online+teaching+and+learning&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn strategies for effective and engaging teaching and learning in an online course environment.,3.8,5,12,-->introductory,3 weeks,teaching - online course development - online teaching - pedagogy,none,free 
edx-22,edx,harvard university,exercising leadership: foundational principles,https://www.edx.org/learn/leadership/harvard-university-exercising-leadership-foundational-principles?index=product&queryid=7810dd9e3207571ed21fe33451f6441b&position=22&results_level=second-level-results&term=&objectid=course-6774d438-134f-4d20-95a2-ea763f59ff23&campaign=exercising+leadership%3a+foundational+principles&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,mobilize people to tackle tough problems and build the capacity to thrive through the dangers of change,4.6,5,402,-->introductory,4 weeks,leadership,none,free 
edx-23,edx,rochester institute of technology,storytelling in the workplace,https://www.edx.org/learn/storytelling/rochester-institute-of-technology-storytelling-in-the-workplace?index=product&queryid=7810dd9e3207571ed21fe33451f6441b&position=23&results_level=second-level-results&term=&objectid=course-c5e876c0-0a8e-4191-ba43-6c4e6d7a5d35&campaign=storytelling+in+the+workplace&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how to craft messages and narratives that will resonate with your target audience to create your desired outcome.,4.4,5,17,introductory,3 weeks,writing - communications - target audience,none,free 
edx-24,edx,harvard university,cs50's introduction to artificial intelligence with python,https://www.edx.org/learn/artificial-intelligence/harvard-university-cs50-s-introduction-to-artificial-intelligence-with-python?index=product&queryid=7810dd9e3207571ed21fe33451f6441b&position=24&results_level=second-level-results&term=&objectid=course-3a31db71-de8f-45f1-ae65-11981ed9d680&campaign=cs50%27s+introduction+to+artificial+intelligence+with+python&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn to use machine learning in python in this introductory course on artificial intelligence.,none,none,none,-->introductory,7 weeks,algorithms - medical diagnosis - reinforcement learning - machine learning - python (programming language) - intelligent systems - handwriting recognition - search algorithms - artificial intelligence - computer science - machine translation - proofreading - mathematical optimization,none,free 
