id,platform,institution,title,url,class_type,description,rating,rating_max,num_reviews,difficulty,duration,skills,prereqs,cost_type
edx-21,edx,university of british columbia,strategies for online teaching and learning,"https://www.edx.org/learn/education/university-of-british-columbia-strategies-for-online-teaching-and-learning?index=product&queryid=32712c9da9123faa523d272ab9054061&position=21&results_level=second-level-results&term=&objectid=course-228e656f-0a00-494f-9233-734cb18761b4&campaign=strategies+for+online+teaching+and+learning&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"learn strategies for effective and engaging teaching and learning in an online course environment.",3.8,5,12,introductory,3 weeks,"teaching - pedagogy - online course development - online teaching","none",free
edx-22,edx,harvard university,exercising leadership: foundational principles,"https://www.edx.org/learn/leadership/harvard-university-exercising-leadership-foundational-principles?index=product&queryid=32712c9da9123faa523d272ab9054061&position=22&results_level=second-level-results&term=&objectid=course-6774d438-134f-4d20-95a2-ea763f59ff23&campaign=exercising+leadership%3a+foundational+principles&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"mobilize people to tackle tough problems and build the capacity to thrive through the dangers of change",4.6,5,402,introductory,4 weeks,"leadership","none",free
edx-23,edx,rochester institute of technology,storytelling in the workplace,"https://www.edx.org/learn/storytelling/rochester-institute-of-technology-storytelling-in-the-workplace?index=product&queryid=32712c9da9123faa523d272ab9054061&position=23&results_level=second-level-results&term=&objectid=course-c5e876c0-0a8e-4191-ba43-6c4e6d7a5d35&campaign=storytelling+in+the+workplace&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"learn how to craft messages and narratives that will resonate with your target audience to create your desired outcome.",4.4,5,17,introductory,3 weeks,"target audience - writing - communications","none",free
edx-24,edx,harvard university,cs50's introduction to artificial intelligence with python,"https://www.edx.org/learn/artificial-intelligence/harvard-university-cs50-s-introduction-to-artificial-intelligence-with-python?index=product&queryid=32712c9da9123faa523d272ab9054061&position=24&results_level=second-level-results&term=&objectid=course-3a31db71-de8f-45f1-ae65-11981ed9d680&campaign=cs50%27s+introduction+to+artificial+intelligence+with+python&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"learn to use machine learning in python in this introductory course on artificial intelligence.",none,none,none,introductory,7 weeks,"artificial intelligence - reinforcement learning - mathematical optimization - proofreading - algorithms - python (programming language) - intelligent systems - search algorithms - handwriting recognition - medical diagnosis - machine translation - computer science - machine learning","none",free
edx-25,edx,google cloud,google cloud computing foundations: cloud computing fundamentals,"https://www.edx.org/learn/cloud-computing/google-cloud-google-cloud-computing-foundations-cloud-computing-fundamentals?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=1&results_level=second-level-results&term=&objectid=course-fcd082c5-7eb6-4b35-909f-20b5ac723d06&campaign=google+cloud+computing+foundations%3a+cloud+computing+fundamentals&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"the first course in google cloud computing foundations professional certificate provides an overview of cloud computing ways to use google cloud and different compute options.",4.4,5,24,introductory,1 weeks,"google cloud - cloud computing","none",free
edx-26,edx,harvard university,cs50's introduction to cybersecurity,"https://www.edx.org/learn/cybersecurity/harvard-university-cs50-s-introduction-to-cybersecurity?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=2&results_level=second-level-results&term=&objectid=course-88391405-e329-495d-bf72-5de13bbf1846&campaign=cs50%27s+introduction+to+cybersecurity&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"an introduction to cybersecurity for technical and non-technical audiences alike.",none,none,none,introductory,5 weeks,"usability - cyber security","none",free
edx-27,edx,harvard university,cs50's web programming with python and javascript,"https://www.edx.org/learn/web-development/harvard-university-cs50-s-web-programming-with-python-and-javascript?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=3&results_level=second-level-results&term=&objectid=course-8f8e5124-1dab-47e6-8fa6-3fbdc0738f0a&campaign=cs50%27s+web+programming+with+python+and+javascript&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"this course picks up where cs50 leaves off diving more deeply into the design and implementation of web apps with python javascript and sql using frameworks like django react and bootstrap.",none,none,none,intermediate,12 weeks,"computer science - scalability - javascript (programming language) - application programming interface (api) - application deployment - django (web framework) - database design - cloud services - sql (programming language) - react.js - python (programming language) - cloud computing - web development - github","none",free
edx-28,edx,ibm,python basics for data science,"https://www.edx.org/learn/python/ibm-python-basics-for-data-science?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=4&results_level=second-level-results&term=&objectid=course-381a0046-5d78-4790-8776-74620d59f48e&campaign=python+basics+for+data+science&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"this python course provides a beginner-friendly introduction to python for data science. practice through lab exercises and you'll be ready to create your first python scripts on your own!",4.5,5,289,introductory,3 weeks,"python (programming language) - data analysis - watson studio - data visualization - machine learning - jupyter - data science","none",free
edx-29,edx,harvard university,data science: machine learning,"https://www.edx.org/learn/machine-learning/harvard-university-data-science-machine-learning?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=5&results_level=second-level-results&term=&objectid=course-7e5958e8-d709-41ab-8f8c-4339f7a733c9&campaign=data+science%3a+machine+learning&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"build a movie recommendation system and learn the science behind one of the most popular and successful data science techniques.",4.3,5,36,introductory,8 weeks,"forecasting - machine learning algorithms - recommender systems - principal component analysis - data science - speech recognition - machine learning - algorithms","none",free
edx-30,edx,the university of queensland,ielts academic test preparation,"https://www.edx.org/learn/test-prep/the-university-of-queensland-ielts-academic-test-preparation?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=6&results_level=second-level-results&term=&objectid=course-d61d7a1f-3333-4169-a786-92e2bf690c6f&campaign=ielts+academic+test+preparation&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"prepare for the ielts academic tests in this comprehensive self-paced course covering listening speaking reading and writing.",4.7,5,35,introductory,8 weeks,"writing - english language","none",free
edx-31,edx,harvard university,rhetoric: the art of persuasive writing and public speaking,"https://www.edx.org/learn/rhetoric/harvard-university-rhetoric-the-art-of-persuasive-writing-and-public-speaking?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=7&results_level=second-level-results&term=&objectid=course-941c1967-d0ee-49bc-b3c5-e6ccf4681f2a&campaign=rhetoric%3a+the+art+of+persuasive+writing+and+public+speaking&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"gain critical communication skills in writing and public speaking with this introduction to american political rhetoric.",4.6,5,149,introductory,8 weeks,"rhetoric - public speaking - economics - communications - persuasive writing - writing - persuasive communication","none",free
edx-32,edx,harvard university,managing happiness,"https://www.edx.org/learn/happiness/harvard-university-managing-happiness?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=8&results_level=second-level-results&term=&objectid=course-56feae4a-7386-4499-8f1d-cf4b17c6cc87&campaign=managing+happiness&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"managing happiness encourages you to explore the science of happiness allowing you to find your truest self. through cutting-edge survey tools the best research and trends in social science positive psychology neuroscience and philosophy learners unlock the strategies to create a more purposeful life full of long-lasting enjoyment and satisfaction.",4.8,5,127,introductory,6 weeks,"psychology - research - lifelong learning - social sciences","none",free
edx-33,edx,harvard university,cs50's introduction to game development,"https://www.edx.org/learn/game-development/harvard-university-cs50-s-introduction-to-game-development?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=9&results_level=second-level-results&term=&objectid=course-8d1da557-03db-4175-b881-e0480d706d96&campaign=cs50%27s+introduction+to+game+development&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"learn about the development of 2d and 3d interactive games in this hands-on course as you explore the design of games such as super mario bros. pokémon angry birds and more.",none,none,none,intermediate,12 weeks,"video game development","none",free
edx-34,edx,educational testing service,toefl® test preparation: the insider’s guide,"https://www.edx.org/learn/test-prep/educational-testing-service-toefl-r-test-preparation-the-insiders-guide?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=10&results_level=second-level-results&term=&objectid=course-ee4f4f12-e6ec-45ac-94df-b90b4b022903&campaign=toefl%c2%ae+test+preparation%3a+the+insider%e2%80%99s+guide&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"this course has been updated to reflect the enhanced toefl ibt test.",4.6,5,76,introductory,6 weeks,"artificial intelligence - planning - english language - test of english as a foreign language (toefl)","none",free
edx-35,edx,harvard university,cs50's introduction to programming with scratch,"https://www.edx.org/learn/scratch-programming/harvard-university-cs50-s-introduction-to-programming-with-scratch?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=11&results_level=second-level-results&term=&objectid=course-8290161d-6419-41c6-87a8-b0fa61b8bb86&campaign=cs50%27s+introduction+to+programming+with+scratch&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"a gentle introduction to programming that prepares you for subsequent courses in coding.",none,none,none,introductory,3 weeks,"visual programming language (vpl) - computer science - java (programming language) - typing - python (programming language) - animations","none",free
edx-36,edx,harvard university,data science: r basics,"https://www.edx.org/learn/r-programming/harvard-university-data-science-r-basics?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=12&results_level=second-level-results&term=&objectid=course-91f52ef3-fa3f-4934-9d19-8d5a32635cd4&campaign=data+science%3a+r+basics&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"build a foundation in r and learn how to wrangle analyze and visualize data.",4.5,5,93,introductory,8 weeks,"probability - ggplot2 - version control - dplyr - unix - sorting - r (programming language) - linux - document preparations - git (version control system) - github - rstudio - data visualization - machine learning - data wrangling - data analysis - file organization - data science","none",free
edx-37,edx,harvard university,introduction to data science with python,"https://www.edx.org/learn/data-science/harvard-university-introduction-to-data-science-with-python?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=13&results_level=second-level-results&term=&objectid=course-c2004e8e-3882-4927-a883-1c5f39a28865&campaign=introduction+to+data+science+with+python&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"learn the concepts and techniques that make up the foundation of data science and machine learning.",4.5,5,19,intermediate,8 weeks,"artificial intelligence - numpy - data science - r (programming language) - algorithms - python (programming language) - matplotlib - pandas (python package) - parsing - scikit-learn (machine learning library) - machine learning - scientific methods","none",free
