edx-118,edx,,,https://www.edx.org/learn/python/universitat-politecnica-de-valencia-python-aprender-a-programar?index=product&queryid=0ba0726f1d597497afa0fcaf11943bfc&position=22&results_level=second-level-results&term=&objectid=course-3c9b15c8-345b-4b5e-9b01-b2138ff39556&campaign=python%3a+aprender+a+programar&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,aprende a programar con python desde cero. comienza conociendo variables bucles y funciones y llega a manejar ficheros de texto.,4.3,5,15,-->introductory,8 weeks,data visualization - python (programming language),none,free 
edx-119,edx,, ,https://www.edx.org/learn/excel/university-of-british-columbia-excel-for-everyone-data-analysis-fundamentals?index=product&queryid=0ba0726f1d597497afa0fcaf11943bfc&position=23&results_level=second-level-results&term=&objectid=course-ca069c90-360c-4ec0-9d60-ae8ff53ce429&campaign=excel+for+everyone%3a+data+analysis+fundamentals&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,perform advanced data wrangling analysis and dashboard visualization to help drive strategic decision-making.,4.5,5,15,-->intermediate,6 weeks,data wrangling - automation - organizational intelligence - data management - data analysis - decision making - sales,none,free 
edx-120,edx,,  ,https://www.edx.org/learn/python/the-georgia-institute-of-technology-computing-in-python-i-fundamentals-and-procedural-programming?index=product&queryid=0ba0726f1d597497afa0fcaf11943bfc&position=24&results_level=second-level-results&term=&objectid=course-e540320a-f125-4021-8f1c-9cbc84c96d87&campaign=computing+in+python+i%3a+fundamentals+and+procedural+programming&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn the fundamentals of computing in python including variables operators and writing and debugging your own programs.,4.6,5,41,introductory,5 weeks,python (programming language) - operations - logical operators - debugging - relational operator - procedural programming,none,free 
edx-121,edx,university of california berkeley,psychedelics and the mind,https://www.edx.org/learn/science/university-of-california-berkeley-psychedelics-and-the-mind?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=1&results_level=second-level-results&term=&objectid=course-ace3fc50-c391-4bfe-8c11-2534a06d2c2f&campaign=psychedelics+and+the+mind&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,uc berkeley professor david presti skillfully navigates the science culture and history of psychedelics for both the novice learner and the curious expert interested in fact-based learning surrounding visionary substances.,none,none,none,-->introductory,10 weeks,visionary - clinical research - public opinion - curiosity - teaching - influencing skills,none,free 
edx-122,edx,the university of queensland,the psychology of criminal justice,https://www.edx.org/learn/behavioral-psychology/the-university-of-queensland-the-psychology-of-criminal-justice?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=2&results_level=second-level-results&term=&objectid=course-479e2d74-9414-4939-9e52-937cf1685720&campaign=the+psychology+of+criminal+justice&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how behavioural science can improve our criminal justice system.,4.4,5,15,-->introductory,8 weeks,psychology - behavioral science,none,free 
edx-123,edx,stanford university,quantum mechanics for scientists and engineers 1,https://www.edx.org/learn/quantum-physics-mechanics/stanford-university-quantum-mechanics-for-scientists-and-engineers-1?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=3&results_level=second-level-results&term=&objectid=course-84f89d1e-6533-4d22-a601-2a3e3a9fe3eb&campaign=quantum+mechanics+for+scientists+and+engineers+1&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this 9 week course aims to teach quantum mechanics to anyone with a reasonable college-level understanding of physical science or engineering. quantum mechanics was once mostly of interest to physicists chemists and other basic scientists. now the concepts and techniques of quantum mechanics are essential in many areas of engineering and science such as materials science nanotechnology electronic devices and photonics.,4.5,5,18,-->introductory,9 weeks,quantum mechanics - materials science - physical science,none,free 
edx-124,edx,harvard university,data science: productivity tools,https://www.edx.org/learn/data-science/harvard-university-data-science-productivity-tools?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=4&results_level=second-level-results&term=&objectid=course-18cf89ce-aa23-493a-91ce-1c341b7e1621&campaign=data+science%3a%c2%a0productivity+tools&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,keep your projects organized and produce reproducible reports using github git unix/linux and rstudio.,4.3,5,21,-->introductory,8 weeks,version control - productivity software - unix - rmarkdown - r (programming language) - linux - git (version control system) - github - markdown - report writing - file systems - data analysis - data science,none,free 
edx-125,edx,ibm,fundamentals of c++,https://www.edx.org/learn/c-programming/ibm-fundamentals-of-c?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=5&results_level=second-level-results&term=&objectid=course-251a4878-0711-4a8d-b1a4-38d96c032cc9&campaign=fundamentals+of+c%2b%2b&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,think like a developer and learn the basics of foundational c++ programming with auto evaluated hands-on labs.,3.1,5,7,-->introductory,5 weeks,object-oriented programming (oop) - problem solving - c++ (programming language) - syntax - semantics - presentations,none,free 
edx-126,edx,harvard university,introduction to data wise: a collaborative process to improve learning & teaching,https://www.edx.org/learn/teacher-training/harvard-university-introduction-to-data-wise-a-collaborative-process-to-improve-learning-teaching?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=6&results_level=second-level-results&term=&objectid=course-86bd9937-82eb-42c0-9acd-ad32445424d7&campaign=introduction+to+data+wise%3a+a+collaborative+process+to+improve+learning+%26+teaching&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn what is involved in using data wisely to build a culture of collaborative inquiry.,4.8,5,27,-->intermediate,10 weeks,look and feel - teaching - personal protective equipment,none,free 
edx-127,edx,ibm,beginners guide to cybersecurity,https://www.edx.org/learn/cybersecurity/ibm-beginners-guide-to-cybersecurity?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=7&results_level=second-level-results&term=&objectid=course-cc2b4496-bccb-4ddc-b6d9-a6ad7d05d28f&campaign=beginners+guide+to+cybersecurity&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this course is designed for beginners to build critical skills to address common security threats and adopt best practices for reducing risks.,4.7,5,11,-->introductory,4 weeks,encryption - technical support - cyber security,none,free 
edx-128,edx,harvard university,masterpieces of world literature,https://www.edx.org/learn/literature/harvard-university-masterpieces-of-world-literature?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=8&results_level=second-level-results&term=&objectid=course-3204fe1c-e279-4948-abf3-37df0e0ff5ff&campaign=masterpieces+of+world+literature&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,embark on a global journey to explore the past present and future of world literature.,4.7,5,21,-->introductory,12 weeks,none,none,free 
edx-129,edx,edx,how to use chatgpt in business,https://www.edx.org/learn/computer-programming/edx-how-to-use-chatgpt-in-business?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=9&results_level=second-level-results&term=&objectid=course-f26cde86-2c92-4a86-9638-1f90cc512845&campaign=how+to+use+chatgpt+in+business&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,welcome to how to use chatgpt in business! this course is designed to introduce you to the exciting world of chatgpt and how it can transform various aspects of business operations. enroll now to join us on this exciting journey and see how chatgpt can take your business to the next level!,4.6,5,17,-->intermediate,1 weeks,none,none,free 
edx-130,edx,university of british columbia,introduction to marketing,https://www.edx.org/learn/marketing/university-of-british-columbia-introduction-to-marketing?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=10&results_level=second-level-results&term=&objectid=course-d1768ac3-9e71-45ee-9174-2d553968c8a5&campaign=introduction+to+marketing&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn the fundamentals to marketing including strategies and tools used across industries.,4.7,5,10,-->introductory,6 weeks,business marketing - decision making - market research - integrated marketing communications - social media strategy - marketing - brand strategy,none,free 
edx-131,edx,university of washington,introduction to cybersecurity,https://www.edx.org/learn/cybersecurity/university-of-washington-introduction-to-cybersecurity?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=11&results_level=second-level-results&term=&objectid=course-db4c2a32-da56-48c1-b33e-d4924d855510&campaign=introduction+to+cybersecurity&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,an introduction to cybersecurity ideal for learners who are curious about the world of internet security and who want to be literate in the field.,4.6,5,17,-->introductory,6 weeks,cyber security - curiosity - internet security,none,free 
edx-132,edx,stanford university,algorithms: design and analysis part 1,https://www.edx.org/learn/algorithms/stanford-university-algorithms-design-and-analysis-part-1?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=12&results_level=second-level-results&term=&objectid=course-9c47939a-dab7-4208-84d4-defd8626741c&campaign=algorithms%3a+design+and+analysis%2c+part+1&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,welcome to the self paced course algorithms: design and analysis! algorithms are the heart of computer science and the subject has countless practical applications as well as intellectual depth. this specialization is an introduction to algorithms for learners with at least a little programming experience.,none,none,none,-->intermediate,6 weeks,algorithms - matrix multiplication - master theorem - divide and conquer - data structures - bloom filter - computer science,none,free 
edx-133,edx,ec-council,ethical hacking essentials (ehe),https://www.edx.org/learn/information-security/ec-council-ethical-hacking-essentials-ehe?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=13&results_level=second-level-results&term=&objectid=course-adbb5b20-6df0-426e-9e71-1c076796950b&campaign=ethical+hacking+essentials+%28ehe%29&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,ethical hacking essentials (ehe) is a first-of-its-kind mooc certification that provides foundational knowledge and skills in ethical hacking with add-on labs for hands-on experience.,none,none,none,-->intermediate,1 weeks,none,none,free 
edx-134,edx,harvard university,the health effects of climate change,https://www.edx.org/learn/climate-change/harvard-university-the-health-effects-of-climate-change?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=14&results_level=second-level-results&term=&objectid=course-ac3a7ef0-00e1-454b-aa69-abded71c6129&campaign=the+health+effects+of+climate+change&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how global warming impacts human health and the ways we can diminish those impacts.,4.6,5,84,-->introductory,7 weeks,greenhouse gas - climate variability and change - research methodologies - infectious diseases,none,free 
edx-135,edx,inter-american development bank,fundamentos de ciberseguridad: un enfoque práctico,https://www.edx.org/learn/cybersecurity/inter-american-development-bank-fundamentos-de-ciberseguridad-un-enfoque-practico?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=15&results_level=second-level-results&term=&objectid=course-759db122-3782-4f72-8215-67be70e4b2f8&campaign=fundamentos+de+ciberseguridad%3a+un+enfoque+pr%c3%a1ctico&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,aprende a pensar como un hacker pero actúa como un experto en ciberseguridad.,4.3,5,10,-->intermediate,6 weeks,cyber security - computer security - research - information technology,none,free 
edx-136,edx,harvard university,leadership: creating public value,https://www.edx.org/learn/leadership/harvard-university-leadership-creating-public-value?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=16&results_level=second-level-results&term=&objectid=course-0ecf7948-eba0-4787-a544-3d0e2197a151&campaign=leadership%3a+creating+public+value&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,in leadership: creating public value learn how to face and meet today’s challenges and design a public value proposition that is both actionable and value creating.,4.5,5,22,-->introductory,7 weeks,leadership - value propositions,none,free 
edx-137,edx,universitat politècnica de valència,marketing digital en redes sociales,https://www.edx.org/learn/digital-marketing/universitat-politecnica-de-valencia-marketing-digital-en-redes-sociales?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=17&results_level=second-level-results&term=&objectid=course-c855f0b6-0d4d-493f-acd8-0e125ed9b656&campaign=marketing+digital+en+redes+sociales&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,aprende todo lo que necesitas saber para que tu marca o empresa se posicione en el mercado obtenga nuevos clientes aumente sus ventas y rentabilice al máximo la inversión de publicidad en redes sociales. conviértete en un buen community manager con herramientas gratuitas y aprende a crear un plan de social media y gestión de contenidos para tu comunidad.,4.6,5,18,-->introductory,3 weeks,social media planning - social media management - instagram - management - whatsapp - content management - personal branding - digital marketing - social networks - marketing - content marketing - advertising campaigns - social media advertising - social media - scheduling - sales,none,free 
edx-138,edx,harvard university,bioethics: the law medicine and ethics of reproductive technologies and genetics,https://www.edx.org/learn/ethics/harvard-university-bioethics-the-law-medicine-and-ethics-of-reproductive-technologies-and-genetics?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=18&results_level=second-level-results&term=&objectid=course-2df50737-b55d-48b7-a86f-77b326e3ee88&campaign=bioethics%3a+the+law%2c+medicine%2c+and+ethics+of+reproductive+technologies+and+genetics&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,an introduction to the study of bioethics and the application of legal and ethical reasoning.,4.7,5,34,-->introductory,10 weeks,bioethics - genetics - in vitro fertilisation,none,free 
edx-139,edx,rochester institute of technology,best practices for project management success,https://www.edx.org/learn/project-management/rochester-institute-of-technology-best-practices-for-project-management-success?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=19&results_level=second-level-results&term=&objectid=course-dc11dbe9-22da-4910-b17c-b981a6a4593b&campaign=best+practices+for+project+management+success&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how to create an organizational environment that supports project success.,4.7,5,6,intermediate,11 weeks,management - leadership,none,free 
edx-140,edx,harvard university,energy and thermodynamics,https://www.edx.org/learn/chemistry/harvard-university-energy-and-thermodynamics?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=20&results_level=second-level-results&term=&objectid=course-b4943c80-33c7-4f11-b6f8-4de028dd7251&campaign=energy+and+thermodynamics&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn the fundamentals of chemistry and energy from the types of energy to atomic mass and matter to enthalpy and thermodynamics.,4.3,5,7,-->introductory,10 weeks,thermal management - thermochemistry - chemistry - renewable energy - heat transfer - thermodynamics - biology - enthalpy,none,free 
edx-141,edx,university of cambridge,introduction to cognitive psychology and neuropsychology,https://www.edx.org/learn/cognitive-science/university-of-cambridge-introduction-to-cognitive-psychology-and-neuropsychology?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=21&results_level=second-level-results&term=&objectid=course-fec44d1b-55db-461b-8731-35fcbf369dbe&campaign=introduction+to+cognitive+psychology+and+neuropsychology&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this course is an introduction to human cognition and how it is explored. you will explore how psychology was born as a separate discipline and how we began to study the nervous system in terms of functions abilities and traits linking brain mind behavior and relationship with the environment.,none,none,none,-->introductory,5 weeks,none,none,free 
edx-142,edx,rochester institute of technology,critical thinking & problem solving,https://www.edx.org/learn/critical-thinking-skills/rochester-institute-of-technology-critical-thinking-problem-solving?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=22&results_level=second-level-results&term=&objectid=course-772eb266-036a-4248-ac03-c3c0bac56c70&campaign=critical+thinking+%26+problem+solving&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,the most successful professionals are able to assess the environment analyze a situation design a solution and ultimately win in a competitive scenario.,4.6,5,42,introductory,3 weeks,leadership - problem solving - critical thinking,none,free 
edx-143,edx,harvard university,fat chance: probability from the ground up,https://www.edx.org/learn/probability/harvard-university-fat-chance-probability-from-the-ground-up?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=23&results_level=second-level-results&term=&objectid=course-97f16f83-5e8a-496c-9086-5634c8edccbb&campaign=fat+chance%3a+probability+from+the+ground+up&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,increase your quantitative reasoning skills through a deeper understanding of probability and statistics.,4.7,5,21,-->introductory,7 weeks,guided practice - basic math - probability and statistics - statistics - normal distribution - probability,none,free 
edx-144,edx,harvard university,improving your business through a culture of health,https://www.edx.org/learn/healthcare/harvard-university-improving-your-business-through-a-culture-of-health?index=product&queryid=45703e99b1cd099f0648d34983a53bc2&position=24&results_level=second-level-results&term=&objectid=course-92c2891c-7016-44fd-8813-90d249075777&campaign=improving+your+business+through+a+culture+of+health&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how a culture of health can transform your business to improve the well-being of your employees and company while increasing revenue.,4.7,5,11,-->introductory,9 weeks,employee retention,none,free 
edx-145,edx,university of british columbia,how to code: simple data,https://www.edx.org/learn/coding/university-of-british-columbia-how-to-code-simple-data?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=1&results_level=second-level-results&term=&objectid=course-895afa12-6162-420d-a522-9945ddf29011&campaign=how+to+code%3a+simple+data&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,none,4.1,5,8,introductory,7 weeks,computer science - program design languages - creativity - software development,none,free 
edx-146,edx,harvard university,using python for research,https://www.edx.org/learn/python/harvard-university-using-python-for-research?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=2&results_level=second-level-results&term=&objectid=course-c9d14131-a515-462b-82e2-6eaec5bc1c17&campaign=using+python+for+research&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,take your introductory knowledge of python programming to the next level and learn how to use python 3 for your research.,3.9,5,34,-->intermediate,12 weeks,research - python (programming language) - go (programming language),none,free 
edx-147,edx,the university of maryland college park,applied scrum for agile project management,https://www.edx.org/learn/scrum/the-university-of-maryland-college-park-applied-scrum-for-agile-project-management?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=3&results_level=second-level-results&term=&objectid=course-3096d18e-5466-41af-8214-461e1dc25498&campaign=applied+scrum+for+agile+project+management&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn the project management processes roles mechanics and philosophies behind scrum the simplest and most pure approach to managing work at the team level.,4.4,5,81,-->advanced,4 weeks,lean manufacturing - backlogs - auditing - scrum (software development) - certified scrum master - sprint planning - mechanics - project management professional certification - software development - agile project management - agile methodology - new product development - extreme programming - project management institute (pmi) methodology - project management - kanban principles - pmi agile certified practitioner - agile software development,none,free 
edx-148,edx,the university of michigan,finance for everyone: smart tools for decision-making,https://www.edx.org/learn/financial-literacy/the-university-of-michigan-finance-for-everyone-smart-tools-for-decision-making?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=4&results_level=second-level-results&term=&objectid=course-1f714d8d-83f0-47ef-841c-168e95f2c81a&campaign=finance+for+everyone%3a+smart+tools+for+decision-making&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,in this introduction to finance course from michigan learn to apply frameworks and smart tools for understanding and making everyday financial decisions.,none,none,none,-->introductory,6 weeks,curiosity - time value of money - finance - decision making - algebra - stocks (finance) - financial literacy - loans - positivity - accounting,none,free 
edx-149,edx,university of alaska fairbanks,the craft of storytelling,https://www.edx.org/learn/storytelling/university-of-alaska-fairbanks-the-craft-of-storytelling?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=5&results_level=second-level-results&term=&objectid=course-38040d47-4cf1-4098-b389-2743638268be&campaign=the+craft+of+storytelling&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,tell captivating stories your audiences will love.,none,none,none,-->introductory,4 weeks,quick learning - social media - creative writing - podcasting - communications - storytelling - public speaking - documentary films,none,free 
edx-150,edx,qatar university,arabic for non-arabic speakers,https://www.edx.org/learn/language/qatar-university-arabic-for-non-arabic-speakers?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=6&results_level=second-level-results&term=&objectid=course-90b77f2e-90c4-4187-9165-a73b688b9c24&campaign=arabic+for+non-arabic+speakers&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this course offers the basics for starting essential conversations in arabic via engaging videos that feature native arabic speakers and numerous interactive learning activities.,4.2,5,63,-->introductory,5 weeks,grammar - non-verbal communication - arabic language - learning platforms - scripting - interactive learning - writing - c (programming language) - pedagogy,none,free 
edx-151,edx,harvard university,introduction to linear models and matrix algebra,https://www.edx.org/learn/linear-algebra/harvard-university-introduction-to-linear-models-and-matrix-algebra?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=7&results_level=second-level-results&term=&objectid=course-0673236f-aaf9-4e38-ba92-c990f4f7b4cb&campaign=introduction+to+linear+models+and+matrix+algebra&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn to use r programming to apply linear models to analyze data in life sciences.,none,none,none,-->intermediate,4 weeks,data analysis - biology - life sciences - software engineering - experimental design - r (programming language) - data warehousing - bioconductor (bioinformatics software) - matrix algebra - functional genomics - statistics - algebra - statistical inference - linear model,none,free 
edx-152,edx,harvard university,pyramids of giza: ancient egyptian art and archaeology,https://www.edx.org/learn/archaeology/harvard-university-pyramids-of-giza-ancient-egyptian-art-and-archaeology?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=8&results_level=second-level-results&term=&objectid=course-d32bba34-f516-4116-bf61-9c6b124c3e3c&campaign=pyramids+of+giza%3a+ancient+egyptian+art+and+archaeology&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,explore the archaeology history art and hieroglyphs surrounding the famous egyptian pyramids at giza. learn about old kingdom pharaohs and elites tombs temples the sphinx and how new technology is unlocking their secrets.,none,none,none,-->introductory,8 weeks,3d modeling - archaeology,none,free 
edx-153,edx,harvard university,introduction to digital humanities,https://www.edx.org/learn/humanities/harvard-university-introduction-to-digital-humanities?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=9&results_level=second-level-results&term=&objectid=course-8dc20524-0918-43ff-8026-2d208d533ed9&campaign=introduction+to+digital+humanities&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,develop skills in digital research and visualization techniques across subjects and fields within the humanities.,4.1,5,18,-->introductory,7 weeks,digital humanities - collections - optical character recognition (ocr) - curation - curiosity,none,free 
edx-154,edx,the university of queensland,becoming an effective leader,https://www.edx.org/learn/leadership/the-university-of-queensland-becoming-an-effective-leader?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=10&results_level=second-level-results&term=&objectid=course-9a0c24fa-6758-464d-9a01-fd5c7b18a96b&campaign=becoming+an+effective+leader&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,develop your leadership skills as you learn the importance of self-efficacy social capital and leadership style.,4.3,5,21,-->intermediate,10 weeks,management - leadership - empathy - leadership styles - human capital,none,free 
edx-155,edx,harvard university,child protection: children's rights in theory and practice,https://www.edx.org/learn/childrens-rights/harvard-university-child-protection-children-s-rights-in-theory-and-practice?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=11&results_level=second-level-results&term=&objectid=course-9c1d402e-ed9e-49e3-874b-dd86d5500408&campaign=child+protection%3a+children%27s+rights+in+theory+and+practice&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how to protect children from violence exploitation and neglect through law policy and practice in a human rights framework.,4.8,5,61,-->introductory,16 weeks,international laws - exploitation - law enforcement - displacement (fluid) - research - child protection - systems thinking,none,free 
edx-156,edx,dassault systèmes solidworks,solidworks cad fundamentals,https://www.edx.org/learn/engineering/dassault-systemes-solidworks-solidworks-cad-fundamentals?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=12&results_level=second-level-results&term=&objectid=course-95e8f7af-8d8f-4786-a070-317e0e3d3658&campaign=solidworks+cad+fundamentals&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,start learning solidworks 3d computer-aided design (cad) software today. we will discuss the fundamentals of sketching features parts assemblies and drawings. this is your chance to learn the best-in-class engineering design software application!,4.3,5,19,-->introductory,5 weeks,3d modeling - solidworks (cad) - new product development - solidworks certification - engineering design process - sketching - mechanical design - computer-aided design,none,free 
edx-157,edx,the university of maryland college park,digital marketing analytics: tools and techniques,https://www.edx.org/learn/digital-marketing/the-university-of-maryland-college-park-digital-marketing-analytics-tools-and-techniques?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=13&results_level=second-level-results&term=&objectid=course-ead84fcd-48ed-42d4-95af-93f54851297f&campaign=digital+marketing+analytics%3a+tools+and+techniques&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how to leverage leading tools and approaches to digital marketing data analysis. dive into seo and paid search strategies web analytics online testing machine learning and ai/big data applications to strengthen your digital marketing efforts and leverage your resources most effectively.,4.6,5,6,-->introductory,4 weeks,contextual advertising - customer data management - surveys - analytical skills - web analytics - big data - marketing - data analysis - digital marketing - machine learning - analytics - search engine optimization - universal testing machines - data-driven decision-making - artificial intelligence,none,free 
edx-158,edx,rochester institute of technology,international project management,https://www.edx.org/learn/international-project-management/rochester-institute-of-technology-international-project-management?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=14&results_level=second-level-results&term=&objectid=course-9d419825-0c0a-4b8c-be67-17c68788c366&campaign=international+project+management&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn what makes global projects uniquely challenging and how to successfully manage projects based in different industries and countries.,4.2,5,17,advanced,9 weeks,gender studies - collaborative software - communications - environmental protocols,none,free 
edx-159,edx,delft university of technology,calculus i: from functions to differential equations,https://www.edx.org/learn/calculus/delft-university-of-technology-calculus-i-from-functions-to-differential-equations?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=15&results_level=second-level-results&term=&objectid=course-131ce1df-6106-4de3-a337-e85f8731dab7&campaign=calculus+i%3a+from+functions+to+differential+equations&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,refresh and review your bachelor-level calculus. this course covers all the various differentiation and integration techniques and guides you through several important methods for solving differential equations.,none,none,none,-->intermediate,6 weeks,physics - dynamical systems - calculus - differential equations - fluid dynamics - basic math,none,free 
edx-160,edx,waseda university,steps in japanese for beginners1 part1,https://www.edx.org/learn/japanese/waseda-university-steps-in-japanese-for-beginners1-part1?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=16&results_level=second-level-results&term=&objectid=course-840acc48-0d64-4a9d-a424-712406a034a6&campaign=steps+in+japanese+for+beginners1+part1&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn basic japanese expressions to survive in japanese.,4.5,5,7,-->introductory,5 weeks,none,none,free 
edx-161,edx,university of california berkeley,academic and business writing,https://www.edx.org/learn/writing/university-of-california-berkeley-academic-and-business-writing?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=17&results_level=second-level-results&term=&objectid=course-ed682cf1-7c11-4417-ac78-e940843cfccc&campaign=academic+and+business+writing&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,an introduction to academic and business writing for english language learners focusing on grammar vocabulary structure editing and publication.,4.3,5,9,-->introductory,6 weeks,business writing - diction - editing - grammar - writing - vocabulary development - english language - vocabulary,none,free 
edx-162,edx,the university of maryland college park,project management principles,https://www.edx.org/learn/project-management/the-university-of-maryland-college-park-project-management-principles?index=product&queryid=13210d6d5f071b0d1a1a110dd5a6a674&position=18&results_level=second-level-results&term=&objectid=course-aef2ea53-da46-4218-a23e-396993cfd06f&campaign=project+management+principles&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn the project management principles key methods concepts and roles in project management and gain a solid understanding of the methodologies behind predictive agile and hybrid project management.,4.4,5,7,-->introductory,5 weeks,none,none,free 
