edx-22,edx,harvard university,exercising leadership: foundational principles,https://www.edx.org/learn/leadership/harvard-university-exercising-leadership-foundational-principles?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=22&results_level=second-level-results&term=&objectid=course-6774d438-134f-4d20-95a2-ea763f59ff23&campaign=exercising+leadership%3a+foundational+principles&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,mobilize people to tackle tough problems and build the capacity to thrive through the dangers of change,4.6,5,402,-->introductory,4 weeks,leadership,none,free 
edx-23,edx,rochester institute of technology,storytelling in the workplace,https://www.edx.org/learn/storytelling/rochester-institute-of-technology-storytelling-in-the-workplace?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=23&results_level=second-level-results&term=&objectid=course-c5e876c0-0a8e-4191-ba43-6c4e6d7a5d35&campaign=storytelling+in+the+workplace&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how to craft messages and narratives that will resonate with your target audience to create your desired outcome.,4.4,5,17,introductory,3 weeks,target audience - writing - communications,none,free 
edx-24,edx,harvard university,cs50's introduction to artificial intelligence with python,https://www.edx.org/learn/artificial-intelligence/harvard-university-cs50-s-introduction-to-artificial-intelligence-with-python?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=24&results_level=second-level-results&term=&objectid=course-3a31db71-de8f-45f1-ae65-11981ed9d680&campaign=cs50%27s+introduction+to+artificial+intelligence+with+python&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn to use machine learning in python in this introductory course on artificial intelligence.,none,none,none,-->introductory,7 weeks,artificial intelligence - reinforcement learning - mathematical optimization - proofreading - algorithms - python (programming language) - intelligent systems - search algorithms - handwriting recognition - medical diagnosis - machine translation - computer science - machine learning,none,free 
edx-25,edx,google cloud,google cloud computing foundations: cloud computing fundamentals,https://www.edx.org/learn/cloud-computing/google-cloud-google-cloud-computing-foundations-cloud-computing-fundamentals?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=1&results_level=second-level-results&term=&objectid=course-fcd082c5-7eb6-4b35-909f-20b5ac723d06&campaign=google+cloud+computing+foundations%3a+cloud+computing+fundamentals&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,the first course in google cloud computing foundations professional certificate provides an overview of cloud computing ways to use google cloud and different compute options.,4.4,5,24,-->introductory,1 weeks,google cloud - cloud computing,none,free 
edx-26,edx,harvard university,cs50's introduction to cybersecurity,https://www.edx.org/learn/cybersecurity/harvard-university-cs50-s-introduction-to-cybersecurity?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=2&results_level=second-level-results&term=&objectid=course-88391405-e329-495d-bf72-5de13bbf1846&campaign=cs50%27s+introduction+to+cybersecurity&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,an introduction to cybersecurity for technical and non-technical audiences alike.,none,none,none,-->introductory,5 weeks,usability - cyber security,none,free 
edx-27,edx,harvard university,cs50's web programming with python and javascript,https://www.edx.org/learn/web-development/harvard-university-cs50-s-web-programming-with-python-and-javascript?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=3&results_level=second-level-results&term=&objectid=course-8f8e5124-1dab-47e6-8fa6-3fbdc0738f0a&campaign=cs50%27s+web+programming+with+python+and+javascript&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this course picks up where cs50 leaves off diving more deeply into the design and implementation of web apps with python javascript and sql using frameworks like django react and bootstrap.,none,none,none,-->intermediate,12 weeks,computer science - scalability - javascript (programming language) - application programming interface (api) - application deployment - django (web framework) - database design - cloud services - sql (programming language) - react.js - python (programming language) - cloud computing - web development - github,none,free 
edx-28,edx,ibm,python basics for data science,https://www.edx.org/learn/python/ibm-python-basics-for-data-science?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=4&results_level=second-level-results&term=&objectid=course-381a0046-5d78-4790-8776-74620d59f48e&campaign=python+basics+for+data+science&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this python course provides a beginner-friendly introduction to python for data science. practice through lab exercises and you'll be ready to create your first python scripts on your own!,4.5,5,289,-->introductory,3 weeks,data science - data analysis - python (programming language) - data visualization - machine learning - jupyter - watson studio,none,free 
edx-29,edx,harvard university,data science: machine learning,https://www.edx.org/learn/machine-learning/harvard-university-data-science-machine-learning?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=5&results_level=second-level-results&term=&objectid=course-7e5958e8-d709-41ab-8f8c-4339f7a733c9&campaign=data+science%3a+machine+learning&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,build a movie recommendation system and learn the science behind one of the most popular and successful data science techniques.,4.3,5,36,-->introductory,8 weeks,forecasting - machine learning algorithms - recommender systems - principal component analysis - data science - speech recognition - machine learning - algorithms,none,free 
edx-30,edx,the university of queensland,ielts academic test preparation,https://www.edx.org/learn/test-prep/the-university-of-queensland-ielts-academic-test-preparation?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=6&results_level=second-level-results&term=&objectid=course-d61d7a1f-3333-4169-a786-92e2bf690c6f&campaign=ielts+academic+test+preparation&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,prepare for the ielts academic tests in this comprehensive self-paced course covering listening speaking reading and writing.,4.7,5,35,-->introductory,8 weeks,writing - english language,none,free 
edx-31,edx,harvard university,rhetoric: the art of persuasive writing and public speaking,https://www.edx.org/learn/rhetoric/harvard-university-rhetoric-the-art-of-persuasive-writing-and-public-speaking?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=7&results_level=second-level-results&term=&objectid=course-941c1967-d0ee-49bc-b3c5-e6ccf4681f2a&campaign=rhetoric%3a+the+art+of+persuasive+writing+and+public+speaking&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,gain critical communication skills in writing and public speaking with this introduction to american political rhetoric.,4.6,5,149,-->introductory,8 weeks,rhetoric - public speaking - economics - communications - persuasive writing - writing - persuasive communication,none,free 
