id,platform,institution,title,url,class_type,description,rating,rating_max,num_reviews,difficulty,duration,skills,prereqs,cost_type
coursera-413,coursera,university of toronto,self-driving cars,https://www.coursera.org/specializations/self-driving-cars,specialization,launch your career in self-driving cars. be at the forefront of the autonomous driving industry.,4.7,5,3.3k,advanced,3 - 6 months,algorithms - machine learning - python programming - computer programming - mathematics - theoretical computer science - estimation - mathematical theory & analysis - probability & statistics - applied machine learning - computer vision - software engineering - computer programming tools - critical thinking - problem solving - strategy and operations - systems design - general statistics - linear algebra - probability distribution - regression - artificial neural networks - planning,none,paid 
coursera-415,coursera,interactive brokers,practical guide to trading,https://www.coursera.org/specializations/financial-instruments-trading-investing,specialization,understand the interconnectedness of the global capital markets with a practical emphasis on trading. by the end of this specialization the interweaving of several capital markets will be apparent to students keen to learn about its mechanics as well as those investors whose strengths are limited to their existing trading knowledge.,4.4,5,487,beginner,3 - 6 months,finance - investment management - financial analysis - leadership and management - risk management - securities trading - financial management - market analysis - strategy - strategy and operations - business analysis - accounting - data analysis - securities sales - taxes,previous investment experience is helpful although not required.,paid 
coursera-416,coursera,west virginia university,forensic accounting and fraud examination,https://www.coursera.org/learn/forensic-accounting,course,none,4.7,5,5.4k,mixed,1 - 3 months,accounting - audit - critical thinking - financial accounting - risk management - regulations and compliance - data analysis - finance - problem solving - big data,none,paid 
coursera-417,coursera,university of colorado boulder,algorithms for battery management systems,https://www.coursera.org/specializations/algorithms-for-battery-management-systems,specialization,get started in algorithms for battery management. learn how to model lithium-ion battery cells and how to use those models to manage battery packs,4.7,5,2.4k,intermediate,3 - 6 months,estimation - mathematics - algorithms - probability & statistics - mathematical theory & analysis - systems design - research and design - general statistics - critical thinking - computer programming - algebra - product design - correlation and dependence - design and product - linear algebra - process analysis - data analysis - data model - material handling - leadership and management - probability distribution - product lifecycle - scientific visualization - regression,a bachelor's degree in electrical computer or mechanical engineering (or a closely related discipline).,paid 
coursera-418,coursera,stanford university,international women's health and human rights,https://www.coursera.org/learn/womens-health-human-rights,course,none,4.9,5,1.5k,beginner,3 - 6 months,none,none,paid 
coursera-419,coursera,dartmouth college,c programming with linux,https://www.coursera.org/specializations/c-programming-linux,specialization,gain skills in computer engineering - c and linux. become a skilled c programmer and start a career in computer engineering.,4.6,5,261,beginner,3 - 6 months,computer programming - computer programming tools - linux,no prior experience needed,paid 
coursera-420,coursera,école polytechnique fédérale de lausanne,functional programming in scala,https://www.coursera.org/specializations/scala,specialization,program on a higher level. write elegant functional code to analyze data that's big or small,4.7,5,10.6k,intermediate,3 - 6 months,computer programming - programming principles - scala programming - theoretical computer science - computational thinking - critical thinking - data structures - big data - algorithms - apache - sql,at least one year of programming experience in any language.,paid 
coursera-421,coursera,amazon web services,aws cloud technical essentials,https://www.coursera.org/learn/aws-cloud-technical-essentials,course,this course is part of multiple programs. learn more,4.8,5,4.4k,beginner,1 - 3 months,amazon web services - cloud computing - cloud storage - leadership and management,if you do not have a technical background we recommend you complete aws cloud practitioner essentials before enrolling in the course.,paid 
coursera-422,coursera,university of michigan,digital technologies and the future of manufacturing,https://www.coursera.org/specializations/digital-technologies-future-of-manufacturing,specialization,emerging digital technologies in manufacturing. learn about breakthrough digital technologies in manufacturing and the business value they deliver.,4.6,5,204,beginner,1 - 3 months,product management - leadership and management - strategy and operations - design and product - strategy - product lifecycle - feature engineering - business process management - innovation - internet of things - operations management - technical product management - entrepreneurship - product design - product strategy - cloud-based integration - organizational development,none,paid 
coursera-423,coursera,google cloud,customer experiences with contact center ai - dialogflow es,https://www.coursera.org/specializations/customer-experience-gcp,specialization,learn about ccai and building dialogflow es agents. learn how to use contact center artificial intelligence (ccai) to design develop and deploy customer conversational solutions,4.5,5,205,intermediate,3 - 6 months,machine learning - natural language processing - human computer interaction - interactive design - user experience - cloud-based integration - applied machine learning - design and product - user experience design - strategy and operations - application development - communication - computer programming - software architecture - training - customer relationship management - computer architecture - computer programming tools - customer success - data management - cloud computing - javascript - operations management,this is a beginner to intermediate course intended for learners with the followingtypes of roles:<p><span><strong><span>conversational designers: </span></strong></span><span><span>designs the user experience of a virtual assistant.translates the brand's business requirements into natural dialog flows.<p><span><strong><span>citizen developers: </span></strong></span><span><span>creates new business applications for consumption by othersusing high level development and runtime environments.<p><span><strong><span>software developers</span></strong></span><span><span>: codes computer software in a programming language (e.g.c++ python javascript) and often using an sdk/api.<p><span><strong><span>operations specialists:</span></strong></span><span><span> monitors system operations and troubleshoots problems.installs supports and maintains network and system tools.,paid 
coursera-424,coursera,university of michigan,extended reality for everybody,https://www.coursera.org/specializations/extended-reality-for-everybody,specialization,12362 already enrolled,4.6,5,428,beginner,1 - 3 months,human computer interaction - virtual reality - computer graphics - interactive design - user experience - user experience design - design and product - research and design - application development - product development - computer programming - product design - visual design - systems design,none,paid 
coursera-425,coursera,amazon web services,aws cloud practitioner essentials,https://www.coursera.org/learn/aws-cloud-practitioner-essentials,course,none,4.8,5,1.5k,beginner,1 - 3 months,amazon web services - cloud computing,general it and business knowledge,paid 
coursera-426,coursera,duke university,introductory human physiology,https://www.coursera.org/learn/physiology,course,none,4.8,5,4.7k,beginner,1 - 3 months,health,none,paid 
coursera-427,coursera,parsons school of design the new school,transforming the fashion business,https://www.coursera.org/specializations/transforming-fashion-business,specialization,design the future of the fashion business. master the challenges facing the fashion industry in today's complex and evolving landscape,4.7,5,428,intermediate,1 - 3 months,leadership and management - research and design - brand management - design and product - strategy and operations - supply chain systems - supply chain and logistics - innovation - marketing - product management - collaboration - entrepreneurship - retail sales - sales - strategy - business design - e-commerce - interactive design - product lifecycle - culture - forecasting - merchandising - product design - visual design,at least 2 years experience in the fashion design and/or fashion retail industry or experience in a similar creative business.,paid 
coursera-428,coursera,google,google it support,https://www.coursera.org/professional-certificates/support-informatique-google,professional certificate,votre carrière dans le domaine de l’informatique. ce programme vous permettra d’acquérir les compétences très recherchées qui vous prépareront à un emploi en moins de 6 mois. aucun diplôme ou expérience particulière ne sont requis.,4.5,5,170,beginner,3 - 6 months,leadership and management - business analysis - design and product - strategy - strategy and operations - data analysis - decision making - cloud computing - databases - network security - data management - security software - communication - critical thinking - business development - planning - operating systems - linux - system software,aucun diplôme ni expérience requis,paid 
